startStationId,startStationName,startStationLongitude,startStationLatitude,sum
36,Boston Public Library - 700 Boylston St.,-71.077303,42.349673,13841
110,Harvard University Gund Hall at Quincy St / Kirkland S,-71.114025,42.376369,7900
107,Ames St at Main St,-71.08822,42.3625,12081
141,Kendall Street,-71.08216792,42.36356016,5727
178,MIT Pacific St at Purrington St,-71.10129476,42.3595732,12042
68,Central Square at Mass Ave / Essex St,-71.1031,42.36507,20451
72,One Broadway / Kendall Sq at Main St / 3rd St,-71.084105,42.362613,9515
163,Lawn on D,-71.044024,42.344792,4362
74,Harvard Square at Mass Ave/ Dunster,-71.118579,42.373268,19963
43,Rowes Wharf - Atlantic Ave,-71.050699,42.357143,9412
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,-71.076472,42.366981,7660
49,Stuart St. at Charles St.,-71.066289,42.351146,6703
95,Cambridge St - at Columbia St / Webster Ave,-71.094445,42.372969,9798
80,MIT Stata Center at Vassar St / Main St,-71.0920526,42.3619622,17416
46,Christian Science Plaza,-71.085918,42.343864,11387
16,Back Bay / South End Station,-71.07657015,42.34807412,12711
150,State Street at Channel Center,-71.052608,42.344137,4464
70,Harvard Kennedy School at Bennett St / Eliot St,-71.121473,42.371196,3300
121,West Broadway at Dorchester St,-71.045859,42.335693,4106
73,Harvard Square at Brattle St / Eliot St,-71.120886,42.373231,10156
91,One Kendall Square at Hampshire St / Portland St,-71.09169,42.366277,12136
75,Lafayette Square at Mass Ave / Main St / Columbia St,-71.10057324,42.36346469,9746
67,MIT at Mass Ave / Amherst St,-71.093198,42.3581,29534
118,Linear Park - Mass. Ave. at Cameron Ave. ,-71.130516,42.397828,4560
143,EF - North Point Park,-71.069957,42.369885,5443
89,Harvard Law School at Mass Ave / Jarvis St,-71.119945,42.379011,6669
88,Inman Square at Vellucci Plaza / Hampshire St,-71.101427,42.374035,11196
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,-71.125107,42.380287,5369
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,-71.114214,42.366621,8542
116,359 Broadway - Broadway at Fayette Street,-71.104412,42.370803,8220
179,MIT Vassar St,-71.10394478,42.35560121,14106
96,Cambridge Main Library at Broadway / Trowbridge St,-71.111075,42.373379,8488
105,Lower Cambridgeport at Magazine St/Riverside Rd,-71.113687,42.356954,10541
177,University Park,-71.10006094,42.36264779,9669
117,Binney St / Sixth St,-71.086388,42.366095,6098
115,Porter Square Station,-71.119084,42.387995,8751
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,-71.105495,42.366426,12156
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,-71.11714125,42.36919032,8482
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,-71.116865,42.377945,7168
176,Lesley University,-71.11901879,42.38674802,2804
90,Lechmere Station at Cambridge St / First St,-71.076529,42.370677,10354
142,Alewife Station at Russell Field,-71.139459,42.396105,2860
140,Danehy Park,-71.132788,42.388966,2604
145,Rindge Avenue - O'Neill Library,-71.129042,42.392766,1516
1,18 Dorrance Warehouse,-71.075978,42.387151,69
4,Tremont St. at Berkeley St.,-71.069616,42.345392,7703
180,Mt Auburn,-71.13320231,42.37478629,2032
29,Innovation Lab - 125 Western Ave. at Batten Way,-71.124565,42.363732,3137
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,-71.13802,42.361667,2130
10,B.U. Central - 725 Comm. Ave.,-71.108279,42.350406,8293
37,New Balance - 20 Guest St.,-71.147782,42.357402,1215
8,Union Square - Brighton Ave. at Cambridge St.,-71.137313,42.353334,3491
19,Buswell St. at Park Dr.,-71.105301,42.347241,5933
11,Longwood Ave / Binney St,-71.1065,42.338629,7115
41,Packard's Corner - Comm. Ave. at Brighton Ave.,-71.123831,42.352261,7471
32,Landmark Centre,-71.102221,42.343912,7846
175,Brighton Center,-71.15027189,42.34894857,1662
135,ID Building East,-71.028664,42.344827,2912
151,John F Fitzgerald - Surface Road at India Street,-71.052163,42.358155,6505
136,ID Building West,-71.031614,42.344796,3698
44,Faneuil Hall - Union St. at North St.,-71.057452,42.360613,6877
9,Agganis Arena - 925 Comm Ave.,-71.115639,42.351246,8121
27,Roxbury Crossing Station,-71.095171,42.331184,3994
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,-71.102797,42.337171,7335
12,Ruggles Station / Columbus Ave.,-71.088496,42.335911,6776
51,Washington St. at Lenox St.,-71.0790969,42.3348756,2441
190,Nashua Street at Red Auerbach Way,-71.06424809,42.36559771,6316
25,Tremont St / W Newton St,-71.076847,42.341332,7374
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,-71.048927,42.378338,4559
38,TD Garden - Causeway at Portal Park #2,-71.059914,42.366222,9078
169,Edwards Playground - Main Street & Eden Street,-71.068607,42.378965,2419
109,TD Garden - Causeway at Portal Park #1,-71.060515,42.365942,6091
98,Charlestown - Warren St at Chelsea St,-71.060292,42.371848,9957
22,South Station - 700 Atlantic Ave.,-71.055547,42.352175,26629
23,Mayor Martin J Walsh - 28 State St,-71.057629,42.35892,12537
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,-71.059367,42.351356,6858
126,Egleston Square at Columbus Ave,-71.098634,42.315692,888
133,Green St T,-71.107341,42.310579,2350
124,Curtis Hall at South Street,-71.11543,42.309054,2190
131,Jackson Square T at Centre St,-71.099533,42.322701,1304
20,Aquarium Station - 200 Atlantic Ave.,-71.051601,42.35977,9567
161,West Broadway at D Street,-71.0514432,42.3391085,4213
119,South Boston Library - 646 East Broadway,-71.03877,42.335741,3469
63,Dorchester Ave. at Gillette Park,-71.057054,42.344023,2922
152,Ink Block,-71.063187,42.345901,5480
54,Tremont St / West St,-71.063348,42.354979,10165
81,Boylston St / Washington St,-71.062679,42.352409,9100
40,Lewis Wharf - Atlantic Ave.,-71.050877,42.363871,9263
21,Prudential Center / Belvidere,-71.082578,42.345959,10254
58,The Esplanade - Beacon St. at Arlington St.,-71.07278,42.355596,12832
94,Charlestown - Main St at Austin St,-71.064608,42.375603,4702
47,Cross St. at Hanover St.,-71.056067,42.362811,12007
31,Seaport Hotel,-71.041747,42.348833,4612
24,Seaport Square - Seaport Blvd. at Boston Wharf,-71.043983,42.351205,6902
171,Bunker Hill Community College,-71.06905997,42.37408991,1967
149,Harvard University Transportation Services - 175 North Harvard St,-71.129164,42.363796,5340
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,-71.119233,42.365064,5582
3,Colleges of the Fenway,-71.100812,42.340021,4005
170,Franklin Park Zoo,-71.085347,42.303469,423
5,Northeastern U / North Parking Lot,-71.090179,42.341814,5704
93,JFK / UMASS at MBTA Station,-71.051122,42.320494,1343
56,Dudley Square,-71.084198,42.328654,1336
146,Day Boulevard,-71.023739,42.336448,2885
189,Kendall T,-71.08495474,42.36242784,14277
65,Boston Convention & Exhibition Center,-71.0441,42.3475,2524
139,Dana Park,-71.107437,42.361589,4962
162,Franklin Park - Seaver Street at Humbolt Ave,-71.092225,42.309796,364
160,Wentworth Institute of Technology,-71.096391,42.337596,4008
138,Mass Ave at Newmarket Square,-71.066498,42.326599,806
71,Conway Park - Somerville Avenue,-71.107593,42.383405,4921
78,Union Square - Somerville,-71.095319,42.379637,4674
102,Powder House Circle - Nathan Tufts Park,-71.116772,42.400877,1861
100,Davis Square,-71.123024,42.396969,8716
111,Packard Ave / Powderhouse Blvd,-71.123413,42.40449,1419
79,Beacon St at Washington / Kirkland,-71.105668,42.37842,5504
77,Somerville City Hall,-71.09812,42.386844,1810
99,Wilson Square,-71.113341,42.385582,3084
137,Magoun Square at Trum Field,-71.107818,42.398365,1389
7,Fan Pier,-71.04438901,42.35328743,3807
48,Post Office Square,-71.055407,42.356755,7067
186,Congress St and Northern Ave,-71.0376513,42.34820322,4164
6,Cambridge St. at Joy St.,-71.065142,42.361174,9888
35,Franklin St. / Arch St.,-71.058087,42.355402,8197
42,Boylston St. at Arlington St.,-71.070627,42.352033,4764
53,Beacon St / Mass Ave,-71.089886,42.350851,14708
64,Congress / Sleeper,-71.0496,42.3511,8454
122,BIDMC - Brookline at Burlington St,-71.100694,42.345733,3184
60,Charles Circle - Charles St. at Cambridge St.,-71.0708399,42.360835,5554
55,Boylston / Mass Ave,-71.088088,42.347265,10645
45,Yawkey Way at Boylston St.,-71.097515,42.344706,9032
120,Charles St at Beacon St,-71.069849,42.356052,7967
13,Boston Medical Center -  East Concord at Harrison Ave,-71.073089,42.336437,6718
39,Washington St. at Rutland St.,-71.074182,42.338623,2990
26,Washington St. at Waltham St.,-71.068922,42.341522,6820
167,Ryan Playground - Dorchester Avenue Station,-71.056664,42.317642,983
106,Mt Pleasant Ave / Dudley Town Common,-71.075354,42.325333,430
113,Andrew Station - Dorchester Ave at Humboldt Pl,-71.057044,42.330716,2198
128,E. Cottage St at Columbia Rd,-71.06198,42.320561,891
192,Purchase St at Pearl St,-71.053292,42.354686,4331
129,Hayes Square at Vine St.,-71.056605,42.377022,2178
130,Upham's Corner - Ramsey St at Dudley St,-71.065421,42.317225,229
30,Brigham Cir / Huntington Ave,-71.105221,42.334073,5200
92,UMass Boston Integrated Sciences Complex,-71.041269,42.314507,25
125,Hyde Square at Barbara St,-71.110833,42.320998,2361
66,Allston Green District - Commonwealth Ave & Griggs St,-71.13401,42.348607,4391
173,Savin Hill MBTA Station,-71.053927,42.310599,422
174,Washington St at Brock St,-71.16041064,42.34900494,918
61,Boylston at Fairfield,-71.082383,42.348762,11212
50,Boylston St / Berkeley St,-71.073644,42.350989,7499
134,New Balance Store - Boylston at Dartmouth,-71.07655,42.350413,5231
159,Heath St at South Huntington,-71.11089706,42.3279727,1389
103,JFK Crossing at Harvard St. / Thorndike St.,-71.128374,42.346563,2713
69,Coolidge Corner - Beacon St @ Centre St,-71.123338,42.341598,5375
193,Brookline Village - Station Street @ MBTA,-71.11658335,42.33289074,2681
82,Washington Square at Washington St. / Beacon St.,-71.13493,42.339335,2532
114,Teele Square at 239 Holland St,-71.126908,42.402763,2613
194,Broadway St at Mt Pleasant St,-71.0782814,42.38614141,1217
92,UMass Boston Integrated Sciences Complex,-71.0405121,42.3139036,873
52,Newbury St / Hereford St,-71.085954,42.348717,2333
33,Kenmore Sq / Comm Ave,-71.097009,42.348706,11365
112,Somerville Hospital at Highland Ave / Crocker St,-71.10942,42.39082,1056
195,Brian P. Murphy Staircase at Child Street,-71.07202649,42.3720597,843
39,Washington St. at Rutland St.,-71.07401937,42.33849279,4659
60,Charles Circle - Charles St. at Cambridge St.,-71.07089996,42.36062498,8685
52,Newbury St / Hereford St,-71.08583987,42.34872432,5757
109,TD Garden - West End Park,-71.06454849,42.36588482,5788
70,Harvard Kennedy School at Bennett St / Eliot St,-71.12226963,42.37199165,4195
130,Upham's Corner - Columbia Rd,-71.06403709,42.31756858,369
42,Boylston St. at Arlington St.,-71.06782079,42.35255006,7598
131,Jackson Square T at Centre St,-71.10034391,42.32285835,1760
197,MLK Blvd at Washington St,-71.091822,42.321678,181
196,Roxbury YMCA,-71.082254,42.317963,196
200,Washington St at Melnea Cass Blvd,-71.08126938,42.33282816,494
199,Upham's Corner T Stop,-71.06975734,42.31884382,126
153,8D OPS 03,-73.566921,45.505086,1
158,8D OPS 01,0,0,1
201,Walnut Ave at Crawford St,-71.091955,42.316873,118
203,Columbia Rd at Ceylon St,-71.072863,42.309566,44
204,Walnut Ave at Warren St,-71.083162,42.324069,69
205,Bowdoin St at Quincy St,-71.06502056,42.30791913,55
202,Grove Hall Library,-71.081159,42.308035,73
207,Market St at Faneuil St,-71.15025043,42.35480179,108
208,Oak Square YMCA,-71.16636693,42.35048162,91
183,Alewife MBTA at Steel Place,-71.14260614,42.39558846,220
210,Bennington St at Byron St,-71.01612031,42.38337842,28
209,Chelsea St at Saratoga St,-71.02744818,42.37980321,19
212,Maverick Sq - Lewis Mall,-71.03976667,42.36883857,63
214,Airport T Stop - Bremen St at Brooks St,-71.03135884,42.37536686,75
213,EBNHC - 20 Maverick Sq,-71.03942692,42.36956287,49
215,The Eddy at New Street,-71.0442616,42.37078455,19
217,Orient Heights T Stop - Bennington St at Saratoga St,-71.00621223,42.38673179,42
211,Piers Park- Marginal St at East Boston Shipyard,-71.03504241,42.36489046,36
216,Glendon St at Condor St,-71.03023231,42.38244736,33
218,Watermark Seaport,-71.04573011,42.3515431,307
184,Sidney Research Campus/ Erie Street at Waverly,-71.10393405,42.35775309,163