Year,Characteristic,Total,Family0sponsored preferences,Employment0based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
2006,Under 1 year,11352,632,469,9063,580,0,608
2006,1 to 4 years,34218,6941,4232,14966,2648,5009,422
2006,5 to 9 years,62918,16006,10278,19076,2772,14358,428
2006,10 to 14 years,83182,23343,11600,27245,2248,17993,753
2006,15 to 19 years,111132,32242,13576,39276,2389,20799,2850
2006,20 to 24 years,121845,20876,7302,62611,6514,22179,2363
2006,25 to 29 years,146551,13669,13026,90818,8692,17940,2406
2006,30 to 34 years,164751,23599,29063,75583,6852,23815,5839
2006,35 to 39 years,138033,22535,26626,49774,4630,25129,9339
2006,40 to 44 years,106542,19674,18976,33552,2938,23524,7878
2006,45 to 49 years,79089,16634,12419,26226,1958,16912,4940
2006,50 to 54 years,59405,12792,6464,24946,1184,11215,2804
2006,55 to 59 years,46642,7665,3043,27144,646,6665,1479
2006,60 to 64 years,35435,3405,1357,26018,272,3647,736
2006,65 to 74 years,48429,1999,584,40024,140,5146,536
2006,75 years and over,16690,212,57,14141,8,2115,157
2006,UnknownAge,50,5,9,20,0,8,8
2007,Under 1 year,10209,642,298,8044,600,0,625
2007,1 to 4 years,29110,6435,3215,13927,2591,2683,259
2007,5 to 9 years,50705,14489,9519,16184,2442,7831,240
2007,10 to 14 years,68184,21278,11932,23282,2009,9136,547
2007,15 to 19 years,91166,27160,12775,33105,2150,13899,2077
2007,20 to 24 years,101099,17988,6321,53765,6501,14770,1754
2007,25 to 29 years,121014,11892,13113,73600,8309,12829,1271
2007,30 to 34 years,136508,18495,34340,59084,6676,15389,2524
2007,35 to 39 years,113790,18601,30806,39438,4277,16377,4291
2007,40 to 44 years,85853,17665,19203,27145,2598,15642,3600
2007,45 to 49 years,63673,15520,11073,22498,1727,10533,2322
2007,50 to 54 years,50044,12093,5594,22811,1180,7051,1315
2007,55 to 59 years,40266,7136,2443,25506,648,3830,703
2007,60 to 64 years,32284,3295,1054,25161,262,2182,330
2007,65 to 74 years,43367,1992,449,37779,140,2766,241
2007,75 years and over,15137,217,41,13590,17,1206,66
2007,UnknownAge,6,2,0,1,0,1,2